Order_date,day_1,Month_name,Day,Amount,Amount 2
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,432,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,299,
4/1/2022,1,April,Friday,817,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,647,
4/1/2022,1,April,Friday,683,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,453,
4/1/2022,1,April,Friday,599,
4/1/2022,1,April,Friday,618,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,426,
4/1/2022,1,April,Friday,280,
4/1/2022,1,April,Friday,527,
4/1/2022,1,April,Friday,399,
4/1/2022,1,April,Friday,371,
4/1/2022,1,April,Friday,387,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,799,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,729,
4/1/2022,1,April,Friday,657,
4/1/2022,1,April,Friday,930,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,383,
4/1/2022,1,April,Friday,365,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,589,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,999,
4/1/2022,1,April,Friday,999,
4/1/2022,1,April,Friday,969,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,322,
4/1/2022,1,April,Friday,657,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,999,
4/1/2022,1,April,Friday,354,
4/1/2022,1,April,Friday,998,
4/1/2022,1,April,Friday,493,
4/1/2022,1,April,Friday,452,
4/1/2022,1,April,Friday,999,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,330,
4/1/2022,1,April,Friday,448,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,396,
4/1/2022,1,April,Friday,999,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,528,
4/1/2022,1,April,Friday,452,
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,877,
4/1/2022,1,April,Friday,672,
4/1/2022,1,April,Friday,354,
4/1/2022,1,April,Friday,330,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,495,
4/1/2022,1,April,Friday,1481,
4/1/2022,1,April,Friday,674,
4/1/2022,1,April,Friday,791,
4/1/2022,1,April,Friday,519,
